question,intent,clean_question
Can you display the annual revenue?,yearly_sales,can you display the annual revenue
Review average revenue.,average_sales,review average revenue
Analyze performance of top region.,best_region,analyze performance of top region
Explain the segment performance.,sales_by_segment,explain the segment performance
How much is the worst sales region?,worst_region,how much is the worst sales region
Create all inventory overview,inventory_summary,create all inventory overview
Could you provide the lowest profit product?,lowest_profit_product,could you provide the lowest profit product
Can you compare the segment wise sales?,sales_by_segment,can you compare the segment wise sales
Display region wise profit,region_profit,display region wise profit
Give detailed sales by subcategory.,sales_by_subcategory,give detailed sales by subcategory
Calculate the earnings growth,profit_growth,calculate the earnings growth
Can you reveal the average income?,average_profit,can you reveal the average income
Can you show total orders?,order_count,can you show total orders
Can you calculate the order count?,order_count,can you calculate the order count
Can you tell me the net profit?,total_profit,can you tell me the net profit
Provide the inactive customers.,bottom_customers,provide the inactive customers
What is the growth in sales?,sales_growth,what is the growth in sales
Inspect lowest profit product.,lowest_profit_product,inspect lowest profit product
Can you find the sales quantity?,quantity_analysis,can you find the sales quantity
Give detailed growth in sales.,sales_growth,give detailed growth in sales
Fetch discount percentage.,discount_analysis,fetch discount percentage
Could you analyze the business growth?,sales_growth,could you analyze the business growth
Display the profit by category.,category_profit,display the profit by category
